action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1662473,[],CHEMBL863916,Binding affinity to Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1C(=O)O,,,CHEMBL1148537,Bioorg Med Chem Lett,2006,"{'bei': '13.19', 'le': '0.24', 'lle': '0.04', 'sei': '7.59'}",CHEMBL199572,,CHEMBL199572,4.37,0,http://www.openphacts.org/units/Nanomolar,414629,=,1,1,=,,IC50,nM,,42600.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,42.6
,,1662477,[],CHEMBL863916,Binding affinity to Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccccc1C(=O)O)c1ccc2cc(Br)ccc2c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148537,Bioorg Med Chem Lett,2006,,CHEMBL199574,,CHEMBL199574,,0,http://www.openphacts.org/units/Nanomolar,414632,=,1,1,=,,IC50,nM,,142600.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,142.6
,,1662479,[],CHEMBL863916,Binding affinity to Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O,,,CHEMBL1148537,Bioorg Med Chem Lett,2006,"{'bei': '10.49', 'le': '0.23', 'lle': '-0.55', 'sei': '6.99'}",CHEMBL372561,,CHEMBL372561,4.03,0,http://www.openphacts.org/units/Nanomolar,414631,=,1,1,=,,IC50,nM,,93400.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,93.4
,,1662481,[],CHEMBL863916,Binding affinity to Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccccc2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148537,Bioorg Med Chem Lett,2006,,CHEMBL370865,,CHEMBL370865,,0,http://www.openphacts.org/units/Nanomolar,414630,=,1,1,=,,IC50,nM,,153500.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,153.5
,,1662493,[],CHEMBL863916,Binding affinity to Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)c1ccc2ccccc2c1)c1ccccc1C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148537,Bioorg Med Chem Lett,2006,,CHEMBL199575,,CHEMBL199575,,0,http://www.openphacts.org/units/Nanomolar,414633,>,1,1,>,,IC50,nM,,200000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,200.0
,,1662495,[],CHEMBL863916,Binding affinity to Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148537,Bioorg Med Chem Lett,2006,,CHEMBL200536,,CHEMBL200536,,0,http://www.openphacts.org/units/Nanomolar,414634,>,1,1,>,,IC50,nM,,200000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,200.0
,,1801641,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '18.40', 'le': '0.36', 'lle': '2.32', 'sei': '10.52'}",CHEMBL218467,,CHEMBL218467,6.8,0,http://www.openphacts.org/units/Nanomolar,621261,=,1,1,=,,IC50,nM,,160.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,0.16
,,1801645,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139229,J Med Chem,2007,,CHEMBL973,TERIFLUNOMIDE,CHEMBL973,,0,http://www.openphacts.org/units/Nanomolar,621273,=,1,1,=,,IC50,nM,,190100.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,190.1
,,1801646,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-],,,CHEMBL1139229,J Med Chem,2007,"{'bei': '20.42', 'le': '0.43', 'lle': '2.18', 'sei': '9.19'}",CHEMBL217893,,CHEMBL217893,6.64,0,http://www.openphacts.org/units/Nanomolar,621272,=,1,1,=,,IC50,nM,,230.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,0.23
,,1801647,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '19.82', 'le': '0.44', 'lle': '1.58', 'sei': '23.18'}",CHEMBL217951,,CHEMBL217951,6.75,0,http://www.openphacts.org/units/Nanomolar,621271,=,1,1,=,,IC50,nM,,180.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,0.18
,,1801648,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1cccc(-c2ccccc2)c1)C(=O)OCC,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '11.97', 'le': '0.22', 'lle': '0.28', 'sei': '6.28'}",CHEMBL217897,,CHEMBL217897,4.06,0,http://www.openphacts.org/units/Nanomolar,621270,=,1,1,=,,IC50,nM,,86700.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,86.7
,,1801649,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C\Nc1cccc(-c2ccccc2)c1,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '15.98', 'le': '0.29', 'lle': '0.93', 'sei': '7.52'}",CHEMBL387254,,CHEMBL387254,4.67,0,http://www.openphacts.org/units/Nanomolar,621269,=,1,1,=,,IC50,nM,,21300.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,21.3
,,1801650,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1ccc(-c2ccccc2)cc1)C(=O)OCC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139229,J Med Chem,2007,,CHEMBL373493,,CHEMBL373493,,0,http://www.openphacts.org/units/Nanomolar,621268,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,500.0
,,1801651,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C\Nc1ccc(-c2ccccc2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139229,J Med Chem,2007,,CHEMBL374338,,CHEMBL374338,,0,http://www.openphacts.org/units/Nanomolar,621267,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,500.0
,,1801652,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1ccc2[nH]cnc2c1)C(=O)OCC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139229,J Med Chem,2007,,CHEMBL219855,,CHEMBL219855,,0,http://www.openphacts.org/units/Nanomolar,621266,=,1,1,=,,IC50,nM,,349100.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,349.1
,,1801653,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1ccccc1C)C(=O)OCC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139229,J Med Chem,2007,,CHEMBL413583,,CHEMBL413583,,0,http://www.openphacts.org/units/Nanomolar,621265,=,1,1,=,,IC50,nM,,345600.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,345.6
,,1801654,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '15.86', 'le': '0.30', 'lle': '1.98', 'sei': '6.80'}",CHEMBL219856,,CHEMBL219856,4.4,0,http://www.openphacts.org/units/Nanomolar,621264,=,1,1,=,,IC50,nM,,40000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,40.0
,,1801655,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(=CNc1ccc2[nH]ncc2c1)C(=O)OCC,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '15.02', 'le': '0.28', 'lle': '2.58', 'sei': '4.88'}",CHEMBL435137,,CHEMBL435137,4.56,0,http://www.openphacts.org/units/Nanomolar,621263,=,1,1,=,,IC50,nM,,27780.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,27.78
,,1801656,[],CHEMBL911102,Inhibition of recombinant Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,,,CHEMBL1139229,J Med Chem,2007,"{'bei': '19.07', 'le': '0.35', 'lle': '2.16', 'sei': '9.48'}",CHEMBL218703,,CHEMBL218703,6.36,0,http://www.openphacts.org/units/Nanomolar,621262,=,1,1,=,,IC50,nM,,440.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,0.44
,,2277565,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccccc2Cl)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,,CHEMBL454269,,CHEMBL454269,,0,http://www.openphacts.org/units/Nanomolar,754144,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,100.0
,,2277566,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccccc2C)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,,CHEMBL473816,,CHEMBL473816,,0,http://www.openphacts.org/units/Nanomolar,754145,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,100.0
,,2277567,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccccc2C(F)(F)F)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,,CHEMBL475663,,CHEMBL475663,,0,http://www.openphacts.org/units/Nanomolar,754214,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,100.0
,,2277568,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccccc2C#N)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,,CHEMBL452667,,CHEMBL452667,,0,http://www.openphacts.org/units/Nanomolar,754215,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,100.0
,,2277569,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2cccc(F)c2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '20.70', 'le': '0.38', 'lle': '2.72', 'sei': '9.14'}",CHEMBL514038,,CHEMBL514038,5.04,0,http://www.openphacts.org/units/Nanomolar,754216,=,1,1,=,,IC50,nM,,9200.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,9.2
,,2277570,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2cccc(Cl)c2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '22.54', 'le': '0.44', 'lle': '3.02', 'sei': '10.62'}",CHEMBL499296,,CHEMBL499296,5.85,0,http://www.openphacts.org/units/Nanomolar,754217,=,1,1,=,,IC50,nM,,1400.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,1.4
,,2277571,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(Nc2cc(C)nc3ncnn23)c1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '22.19', 'le': '0.40', 'lle': '2.83', 'sei': '9.63'}",CHEMBL475664,,CHEMBL475664,5.31,0,http://www.openphacts.org/units/Nanomolar,754218,=,1,1,=,,IC50,nM,,4900.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,4.9
,,2277572,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2cccc(C(F)(F)F)c2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '16.55', 'le': '0.32', 'lle': '1.65', 'sei': '8.81'}",CHEMBL474842,,CHEMBL474842,4.85,0,http://www.openphacts.org/units/Nanomolar,754219,=,1,1,=,,IC50,nM,,14000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,14.0
,,2277573,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(F)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '19.41', 'le': '0.36', 'lle': '2.40', 'sei': '8.57'}",CHEMBL474004,,CHEMBL474004,4.72,0,http://www.openphacts.org/units/Nanomolar,754220,=,1,1,=,,IC50,nM,,19000.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,19.0
,,2277574,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(Cl)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '22.32', 'le': '0.44', 'lle': '2.97', 'sei': '10.52'}",CHEMBL452465,,CHEMBL452465,5.8,0,http://www.openphacts.org/units/Nanomolar,754296,=,1,1,=,,IC50,nM,,1600.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,1.6
,,2277575,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(Br)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '20.08', 'le': '0.46', 'lle': '3.17', 'sei': '11.08'}",CHEMBL492520,,CHEMBL492520,6.11,0,http://www.openphacts.org/units/Nanomolar,754297,=,1,1,=,,IC50,nM,,780.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,0.78
,,2277576,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '22.47', 'le': '0.41', 'lle': '2.90', 'sei': '9.76'}",CHEMBL492528,,CHEMBL492528,5.38,0,http://www.openphacts.org/units/Nanomolar,754298,=,1,1,=,,IC50,nM,,4200.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,4.2
,,2277577,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '22.35', 'le': '0.43', 'lle': '3.35', 'sei': '11.89'}",CHEMBL492529,,CHEMBL492529,6.55,0,http://www.openphacts.org/units/Nanomolar,754299,=,1,1,=,,IC50,nM,,280.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,0.28
,,2277578,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(Nc2cc(C)nc3ncnn23)cc1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '20.91', 'le': '0.38', 'lle': '3.16', 'sei': '8.30'}",CHEMBL523669,,CHEMBL523669,5.34,0,http://www.openphacts.org/units/Nanomolar,754300,=,1,1,=,,IC50,nM,,4600.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,4.6
,,2277579,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(OC(F)(F)F)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '19.15', 'le': '0.37', 'lle': '2.85', 'sei': '9.20'}",CHEMBL492530,,CHEMBL492530,5.92,0,http://www.openphacts.org/units/Nanomolar,754301,=,1,1,=,,IC50,nM,,1200.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,1.2
,,2277580,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(OC(F)F)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '19.06', 'le': '0.36', 'lle': '2.77', 'sei': '8.63'}",CHEMBL492336,,CHEMBL492336,5.55,0,http://www.openphacts.org/units/Nanomolar,754302,=,1,1,=,,IC50,nM,,2800.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,2.8
,,2277581,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc([N+](=O)[O-])cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '19.86', 'le': '0.37', 'lle': '3.29', 'sei': '5.46'}",CHEMBL500504,,CHEMBL500504,5.37,0,http://www.openphacts.org/units/Nanomolar,754395,=,1,1,=,,IC50,nM,,4300.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,4.3
,,2277582,[],CHEMBL1016154,Inhibition of Plasmodium falciparum DHODH,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Nc2ccc(-c3ccccc3)cc2)n2ncnc2n1,,,CHEMBL1153392,J Med Chem,2009,"{'bei': '17.51', 'le': '0.31', 'lle': '1.44', 'sei': '9.57'}",CHEMBL522991,,CHEMBL522991,5.28,0,http://www.openphacts.org/units/Nanomolar,754396,=,1,1,=,,IC50,nM,,5300.0,CHEMBL3486,Plasmodium falciparum,Dihydroorotate dehydrogenase,5833,,,IC50,uM,UO_0000065,,5.3
