,index,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
0,0,CHEMBL199572,inactive,CN(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1C(=O)O,331.3710000000001,4.328400000000004,1.0,2.0,42600.0,4.370590400897281
1,1,CHEMBL199574,inactive,O=C(Nc1ccccc1C(=O)O)c1ccc2cc(Br)ccc2c1,370.202,4.552800000000002,2.0,2.0,142600.0,3.845880474484153
2,2,CHEMBL372561,inactive,CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O,384.2290000000001,4.577100000000003,1.0,2.0,93400.0,4.029653123769907
3,3,CHEMBL370865,inactive,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccccc2)cc1,317.344,4.304100000000002,2.0,2.0,153500.0,3.8138916201867947
4,4,CHEMBL199575,inactive,CN(C(=O)c1ccc2ccccc2c1)c1ccccc1C(=O)O,305.3330000000001,3.814600000000002,1.0,2.0,200000.0,3.6989700043360187
5,5,CHEMBL200536,inactive,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,291.306,3.790300000000002,2.0,2.0,200000.0,3.6989700043360187
6,6,CHEMBL218467,active,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,369.4420000000002,4.476500000000003,1.0,6.0,160.0,6.795880017344075
7,7,CHEMBL973,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,2.99948,2.0,3.0,190100.0,3.721017883134557
8,8,CHEMBL217893,active,Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-],325.15100000000007,4.462320000000003,1.0,3.0,230.0,6.638272163982407
9,9,CHEMBL217951,active,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,340.2200000000001,5.163020000000003,1.0,1.0,180.0,6.7447274948966935
10,10,CHEMBL217897,inactive,CCOC(=O)C(=CNc1cccc(-c2ccccc2)c1)C(=O)OCC,339.39100000000013,3.7756000000000025,1.0,5.0,86700.0,4.06198090252379
11,11,CHEMBL387254,inactive,CCOC(=O)/C(C#N)=C\Nc1cccc(-c2ccccc2)c1,292.338,3.736080000000002,1.0,4.0,21300.0,4.671620396561262
12,12,CHEMBL373493,inactive,CCOC(=O)C(=CNc1ccc(-c2ccccc2)cc1)C(=O)OCC,339.39100000000013,3.7756000000000025,1.0,5.0,500000.0,3.3010299956639813
13,13,CHEMBL374338,inactive,CCOC(=O)/C(C#N)=C\Nc1ccc(-c2ccccc2)cc1,292.338,3.736080000000002,1.0,4.0,500000.0,3.3010299956639813
14,14,CHEMBL219855,inactive,CCOC(=O)C(=CNc1ccc2[nH]cnc2c1)C(=O)OCC,303.3180000000001,1.9848999999999999,2.0,6.0,349100.0,3.457050151185821
15,15,CHEMBL413583,inactive,CCOC(=O)C(=CNc1ccccc1C)C(=O)OCC,277.32000000000005,2.417020000000001,1.0,5.0,345600.0,3.4614262661931443
16,16,CHEMBL219856,inactive,CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC,277.32000000000005,2.417020000000001,1.0,5.0,40000.0,4.3979400086720375
17,17,CHEMBL435137,inactive,CCOC(=O)C(=CNc1ccc2[nH]ncc2c1)C(=O)OCC,303.3180000000001,1.9848999999999999,2.0,6.0,27780.0,4.556267758598403
18,18,CHEMBL218703,active,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,333.3910000000001,4.196880000000003,1.0,5.0,440.0,6.356547323513812
