,molecule_chembl_id,canonical_smiles,pIC50,fp
0,CHEMBL199572,CN(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1C(=O)O,4.370590400897281,[0 0 0 ... 0 0 0]
1,CHEMBL199574,O=C(Nc1ccccc1C(=O)O)c1ccc2cc(Br)ccc2c1,3.845880474484153,[0 0 0 ... 0 0 0]
2,CHEMBL372561,CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O,4.029653123769907,[0 0 0 ... 0 0 0]
3,CHEMBL370865,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccccc2)cc1,3.8138916201867943,[0 0 0 ... 0 0 0]
4,CHEMBL199575,CN(C(=O)c1ccc2ccccc2c1)c1ccccc1C(=O)O,3.6989700043360183,[0 0 0 ... 0 0 0]
5,CHEMBL200536,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,3.6989700043360183,[0 0 0 ... 0 0 0]
6,CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,6.795880017344075,[0 0 0 ... 0 0 0]
7,CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,3.721017883134557,[0 0 0 ... 0 0 0]
8,CHEMBL217893,Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-],6.638272163982407,[0 0 0 ... 1 1 0]
9,CHEMBL217951,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,6.7447274948966935,[0 0 0 ... 0 0 0]
10,CHEMBL217897,CCOC(=O)C(=CNc1cccc(-c2ccccc2)c1)C(=O)OCC,4.06198090252379,[0 0 0 ... 0 0 0]
11,CHEMBL387254,CCOC(=O)/C(C#N)=C\Nc1cccc(-c2ccccc2)c1,4.671620396561262,[0 0 0 ... 0 0 0]
12,CHEMBL373493,CCOC(=O)C(=CNc1ccc(-c2ccccc2)cc1)C(=O)OCC,3.3010299956639813,[0 0 0 ... 0 0 0]
13,CHEMBL374338,CCOC(=O)/C(C#N)=C\Nc1ccc(-c2ccccc2)cc1,3.3010299956639813,[0 0 0 ... 0 0 0]
14,CHEMBL219855,CCOC(=O)C(=CNc1ccc2[nH]cnc2c1)C(=O)OCC,3.457050151185821,[0 0 0 ... 0 0 0]
15,CHEMBL413583,CCOC(=O)C(=CNc1ccccc1C)C(=O)OCC,3.4614262661931443,[0 0 0 ... 0 0 0]
16,CHEMBL219856,CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC,4.3979400086720375,[0 0 0 ... 0 0 0]
17,CHEMBL435137,CCOC(=O)C(=CNc1ccc2[nH]ncc2c1)C(=O)OCC,4.556267758598403,[0 0 0 ... 0 0 0]
18,CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,6.356547323513812,[0 0 0 ... 0 0 0]
19,CHEMBL454269,Cc1cc(Nc2ccccc2Cl)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
20,CHEMBL473816,Cc1cc(Nc2ccccc2C)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
21,CHEMBL475663,Cc1cc(Nc2ccccc2C(F)(F)F)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
22,CHEMBL452667,Cc1cc(Nc2ccccc2C#N)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
23,CHEMBL514038,Cc1cc(Nc2cccc(F)c2)n2ncnc2n1,5.036212172654444,[0 0 0 ... 0 0 0]
24,CHEMBL499296,Cc1cc(Nc2cccc(Cl)c2)n2ncnc2n1,5.853871964321762,[0 0 0 ... 0 0 0]
25,CHEMBL475664,Cc1cccc(Nc2cc(C)nc3ncnn23)c1,5.309803919971486,[0 0 0 ... 0 0 0]
26,CHEMBL474842,Cc1cc(Nc2cccc(C(F)(F)F)c2)n2ncnc2n1,4.853871964321762,[0 0 0 ... 0 0 0]
27,CHEMBL474004,Cc1cc(Nc2ccc(F)cc2)n2ncnc2n1,4.721246399047171,[0 0 0 ... 0 0 0]
28,CHEMBL452465,Cc1cc(Nc2ccc(Cl)cc2)n2ncnc2n1,5.795880017344075,[0 0 0 ... 0 0 0]
