iter	RMSE
0	1.148133138
1	1.117168557
2	1.090087698
3	1.060343799
4	1.039523099
5	1.007305422
6	0.9814877725
7	0.9607254857
8	0.9405543514
9	0.9181894569
10	0.8967697418
11	0.8774891044
12	0.8640519664
13	0.8459335839
14	0.8314737648
15	0.8134245716
16	0.8035299367
17	0.7887237477
18	0.7733996815
19	0.7623188147
20	0.7521791596
21	0.7437769102
22	0.7346144473
23	0.7252205506
24	0.7159608754
25	0.7040480018
26	0.6950506784
27	0.6857072654
28	0.6757385338
29	0.6678020373
30	0.6578335549
31	0.6543263255
32	0.6495786795
33	0.6435932973
34	0.6359470356
35	0.6305497321
36	0.6231119969
37	0.6137085058
38	0.6032665885
39	0.5988455151
40	0.5915014341
41	0.5839344431
42	0.5748579623
43	0.5709895582
44	0.565572502
45	0.56302649
46	0.5587105723
47	0.5548218169
48	0.5504490327
49	0.5453099969
50	0.541785768
51	0.5390224301
52	0.5356873254
53	0.5329575131
54	0.5287680108
55	0.5234107849
56	0.520611602
57	0.5170575437
58	0.5130868052
59	0.5106547521
60	0.5063560232
61	0.5026980835
62	0.4975816357
63	0.4907874735
64	0.4844595579
65	0.4826177329
66	0.4780721525
67	0.4742755371
68	0.4699901889
69	0.4681301278
70	0.4650673019
71	0.4574356158
72	0.4557678064
73	0.4517834827
74	0.4479197609
75	0.4464856737
76	0.4402606042
77	0.435606095
78	0.4316234298
79	0.4301781647
80	0.4292072751
81	0.4256272119
82	0.424279602
83	0.4201938592
84	0.4161628605
85	0.4114131977
86	0.4109839428
87	0.4090117768
88	0.4080546645
89	0.4034343756
90	0.4006621552
91	0.3959179303
92	0.3950143677
93	0.3914449197
94	0.3889283282
95	0.3881823927
96	0.3850036114
97	0.3845619004
98	0.3801829116
99	0.3793901773
100	0.3768377706
101	0.3737800049
102	0.372158989
103	0.3716989858
104	0.3698120255
105	0.3680910725
106	0.3655310783
107	0.3650025025
108	0.3619971503
109	0.3596291386
110	0.3560740287
111	0.3517883428
112	0.3509436651
113	0.3489382923
114	0.3459189529
115	0.3447531279
116	0.3420450634
117	0.3398428137
118	0.3383505156
119	0.3375714488
120	0.3357937642
121	0.3352968697
122	0.333810673
123	0.3311828287
124	0.3290830359
125	0.3286352368
126	0.3280094756
127	0.3271357924
128	0.3253621492
129	0.3250495675
130	0.3229774821
131	0.3209084548
132	0.320606301
133	0.3188791992
134	0.3172538041
135	0.3166014326
136	0.3163041413
137	0.3139878483
138	0.3118719921
139	0.3113599057
140	0.3078730719
141	0.3070605158
142	0.3058656463
143	0.3044981409
144	0.3042597738
145	0.3039308339
146	0.303684117
147	0.3007956664
148	0.2993832826
149	0.2983845827
150	0.2960608889
151	0.2957261019
152	0.2940268203
153	0.2916490315
154	0.2895319492
155	0.288139416
156	0.2867134088
157	0.2862097926
158	0.2859417742
159	0.2839616676
160	0.2829074282
161	0.282120493
162	0.2817314983
163	0.2795957822
164	0.2785553041
165	0.2776545384
166	0.2774602791
167	0.2767103552
168	0.2759736102
169	0.2757477077
170	0.27555577
171	0.2745141741
172	0.2731568683
173	0.2729431224
174	0.2728052872
175	0.2726801503
176	0.2725611186
177	0.2722115629
178	0.2702458778
179	0.2698033429
180	0.2695630631
181	0.2678083308
182	0.2671370198
183	0.2659177458
184	0.2657824794
185	0.2645737847
186	0.2632163827
187	0.262250383
188	0.2607613838
189	0.2605936202
190	0.2595888915
191	0.2581851872
192	0.2580441018
193	0.2564595863
194	0.2555261208
195	0.2553688734
196	0.253983005
197	0.2526959278
198	0.2523594127
199	0.2514089768
200	0.2499738566
201	0.2493501747
202	0.2490828629
203	0.2488258461
204	0.2480775315
205	0.2470363913
206	0.2455039182
207	0.2445317139
208	0.2442048832
209	0.2440918726
210	0.2425609468
211	0.2419671277
212	0.2410060968
213	0.2397311295
214	0.2382443094
215	0.237471114
216	0.2365839387
217	0.2349915643
218	0.2336780551
219	0.2319446081
220	0.2309463162
221	0.2294865649
222	0.2293695405
223	0.2283738931
224	0.2282281573
225	0.228134488
226	0.2270082601
227	0.2260993915
228	0.22450225
229	0.2239954782
230	0.223852635
231	0.222404785
232	0.2217102894
233	0.2216101383
234	0.2204918698
235	0.2197360204
236	0.2184710253
237	0.2170364704
238	0.215964081
239	0.2158630287
240	0.2156562459
241	0.2150702065
242	0.214474936
243	0.2143453755
244	0.2134263401
245	0.2123963754
246	0.2121405873
247	0.2119572938
248	0.2115239267
249	0.2114257808
