iter	Passed	Remaining
0	19	4874
1	36	4544
2	57	4695
3	74	4559
4	95	4663
5	120	4899
6	202	7031
7	349	10579
8	401	10750
9	452	10858
10	482	10474
11	502	9975
12	522	9517
13	542	9152
14	563	8830
15	583	8532
16	603	8265
17	623	8032
18	642	7806
19	664	7642
20	683	7454
21	704	7296
22	722	7132
23	743	7004
24	762	6866
25	782	6743
26	803	6639
27	823	6530
28	842	6420
29	863	6330
30	882	6232
31	902	6146
32	921	6056
33	942	5988
34	961	5909
35	981	5834
36	1000	5761
37	1021	5697
38	1040	5630
39	1060	5567
40	1078	5498
41	1098	5439
42	1116	5376
43	1135	5317
44	1156	5267
45	1176	5219
46	1209	5224
47	1488	6265
48	1540	6318
49	1603	6412
50	1642	6407
51	1661	6326
52	1681	6248
53	1700	6172
54	1719	6096
55	1740	6029
56	1759	5959
57	1779	5891
58	1802	5834
59	1824	5776
60	1846	5720
61	1864	5653
62	1885	5597
63	1904	5533
64	1927	5486
65	1948	5431
66	1969	5379
67	1987	5320
68	2008	5268
69	2036	5237
70	2061	5197
71	2108	5211
72	2143	5197
73	2171	5163
74	2189	5109
75	2208	5056
76	2228	5007
77	2247	4956
78	2266	4905
79	2285	4856
80	2303	4805
81	2322	4758
82	2341	4711
83	2362	4669
84	2383	4627
85	2404	4584
86	2426	4546
87	2446	4503
88	2464	4457
89	2483	4415
90	2500	4369
91	2522	4332
92	2541	4289
93	2561	4251
94	2581	4212
95	2600	4172
96	2618	4130
97	2639	4093
98	2656	4052
99	2677	4016
100	2695	3976
101	2715	3939
102	2733	3901
103	2753	3865
104	2771	3826
105	2792	3793
106	2810	3756
107	2829	3720
108	2848	3685
109	2869	3651
110	2888	3617
111	2907	3582
112	2927	3549
113	2947	3516
114	2966	3482
115	2984	3447
116	3004	3415
117	3022	3381
118	3041	3347
119	3059	3314
120	3079	3282
121	3097	3249
122	3117	3219
123	3137	3188
124	3160	3160
125	3181	3131
126	3200	3099
127	3219	3068
128	3239	3038
129	3259	3009
130	3280	2980
131	3300	2950
132	3319	2920
133	3339	2890
134	3358	2860
135	3376	2830
136	3396	2801
137	3413	2770
138	3433	2741
139	3451	2711
140	3471	2683
141	3490	2654
142	3511	2627
143	3531	2599
144	3551	2571
145	3572	2545
146	3592	2517
147	3609	2487
148	3629	2459
149	3646	2431
150	3665	2403
151	3684	2375
152	3703	2347
153	3723	2321
154	3743	2294
155	3763	2267
156	3783	2241
157	3803	2214
158	3822	2187
159	3841	2160
160	3859	2133
161	3878	2106
162	3896	2079
163	3915	2053
164	3935	2027
165	3954	2001
166	3974	1975
167	3995	1949
168	4015	1924
169	4033	1898
170	4053	1872
171	4073	1847
172	4089	1820
173	4110	1795
174	4128	1769
175	4148	1744
176	4166	1718
177	4188	1694
178	4206	1668
179	4225	1643
180	4243	1617
181	4261	1592
182	4279	1566
183	4298	1541
184	4318	1517
185	4338	1492
186	4357	1468
187	4376	1443
188	4413	1424
189	4432	1399
190	4451	1375
191	4472	1351
192	4492	1326
193	4511	1302
194	4533	1278
195	4552	1254
196	4571	1229
197	4590	1205
198	4607	1180
199	4626	1156
200	4647	1132
201	4666	1108
202	4684	1084
203	4703	1060
204	4723	1036
205	4743	1013
206	4761	989
207	4782	965
208	4800	941
209	4818	917
210	4837	894
211	4855	870
212	4874	846
213	4891	822
214	4910	799
215	4930	776
216	4950	752
217	4968	729
218	4987	705
219	5004	682
220	5024	659
221	5041	635
222	5061	612
223	5079	589
224	5097	566
225	5117	543
226	5138	520
227	5156	497
228	5175	474
229	5195	451
230	5214	428
231	5233	406
232	5250	383
233	5269	360
234	5287	337
235	5306	314
236	5327	292
237	5347	269
238	5364	246
239	5383	224
240	5400	201
241	5423	179
242	5442	156
243	5461	134
244	5478	111
245	5499	89
246	5519	67
247	5540	44
248	5559	22
249	5578	0
